InstanceID,InstanceName,IPAddress,InstanceType
i-0a0dc3218e8e99370,kubernetes-master-platform,10.90.200.26,m6i.xlarge
i-004fd3cb95953cae7,central-jfrog,10.90.200.17,m6i.2xlarge
i-0eade07c17be0c160,central-gitlab,10.90.200.29,m6i.4xlarge
i-0bba723c853422427,cnp-load-balancer,10.90.200.10,c6i.large
i-0b0bc52800dbe5aae,central-harbor,10.90.200.11,m6i.2xlarge
i-0d6a123b8c650e7d5,cnp-master-1,10.90.200.22,m6i.xlarge
i-090756641a8d79da6,cnp-master-2,10.90.200.23,m6i.xlarge
i-04fb15c9325812cc6,cnp-master-3,10.90.200.7,m6i.xlarge
i-00896b4dde86ef071,central-sonar-dtrack-database,10.90.200.4,m6i.2xlarge
i-06ca8944b19dfcaaa,cnp-node-1,10.90.200.12,m6i.4xlarge
i-06576c18842d4bfe5,cnp-node-2,10.90.200.9,m6i.4xlarge
i-096eea64b67a522c3,central-jenkins-master,10.90.200.15,m6i.2xlarge
i-032f961200a6231ac,network-test,10.90.200.27,t3.micro
i-0a3dbbe054c67fbfe,pcc-node-1,10.90.200.25,c6i.2xlarge
i-061861e5a43c65760,pcc-node-2,10.90.200.18,c6i.2xlarge
i-0f3fc1bcce652e82a,pcc-node-3,10.90.200.16,c6i.2xlarge
i-07d916bb0d01de786,pcc-node-4,10.90.200.6,c6i.2xlarge
i-055ebf0d855b3f08e,pcc-node-5,10.90.200.20,c6i.2xlarge
i-0e9eaca51389b0fb0,pcc-node-6,10.90.200.21,c6i.2xlarge
i-01d77e142c543e6db,pcc-node-7,10.90.200.19,m6i.2xlarge
i-090be3c43ecaca126,dtacwifi_ELK_720,10.90.203.76,m6i.xlarge
i-043e9086f366c56c3,mad-api-jenkins QA,10.90.203.36,c6i.2xlarge
i-07fd2a1dddd146f5b,dtacwifi02,10.90.203.230,m6i.xlarge
i-022e4df59744019d4,dtacwifi01,10.90.203.92,m6i.xlarge
i-05af39b4dd1e68c61,mad-api-ngt-wso2-1,10.90.202.145,t2.xlarge
i-000ba6783953d21d8,mad-api-ngt-wso2-4,10.90.202.84,t2.xlarge
i-01f9ae641556d3ba3,mad-api-ngt-wso2-5,10.90.202.241,t2.xlarge
i-041edfbe314c59172,dtacwifi_db06,10.90.202.155,t2.medium
i-0c4e1e428e8bc27c0,dtacwifi_db05,10.90.203.180,t2.medium
i-067851c67f1eca3ce,dtacwifi_db04,10.90.202.222,t2.medium
i-038b30ed1d77a156f,MySQL_Platform,10.90.203.95,t2.xlarge
i-0f69176ae284ffefa,mad-api-ngt-wso2-2,10.90.202.198,m6i.4xlarge
i-01ca1dfe1eea610ce,dSP-Dev-Env,10.90.203.103,m6i.2xlarge
i-0d490adb6d04cea25,pcc-Jenkins Agent-1,10.90.202.139,m6i.xlarge
i-07a5c522906c7e38d,pcc-Functional-2,10.90.203.116,m6i.xlarge
i-01b1ce4a979c2f232,pcc-VoltDB-Automation1,10.90.203.205,m6i.xlarge
i-01c54440a777c1592,UPC-Server-1,10.90.203.29,m6i.2xlarge
i-0c9189e7f6370697c,UPC-Server-2,10.90.203.39,m6i.2xlarge
i-0c7b6b2d49c9843e8,dSP-NGT-Env,10.90.202.94,m6i.4xlarge
i-097e0f9a8e1825213,dSP-QA-Env,10.90.203.33,m6i.4xlarge
i-0375277551825c10b,SMART-NFVI-AAA-DB-App,10.90.202.89,c5.xlarge
i-0df1a6a1cb12a672f,UPC-Server-DB,10.90.202.120,m6i.2xlarge
i-03925c01bc6b25e85,SU-Mediation,10.90.202.104,m6i.xlarge
i-0dd2ad920c95e240f,SU-SUOSSApp,10.90.202.191,c5.xlarge
i-09c520ea969fadb79,SU-SUSISINDIKOMAPP,10.90.203.234,c5.xlarge
i-0b6acea12146e74b5,SU-SUVFWiFiUAPP1D,10.90.203.32,c5.xlarge
i-06ec3c6c25881c807,SU-SUSISINDIKOMDEV,10.90.203.109,c5.xlarge
i-083601c10b376ea17,SU-YTLsupportAPP,10.90.202.249,m6i.xlarge
i-05e3516b37ef1cdff,dep-e2e-2,10.90.202.15,c5.4xlarge
i-06e56ad6539197f36,dep-e2e-1,10.90.203.166,c5.4xlarge
i-01bb80a0e2629977d,dep-dupc-bs,10.90.203.12,c5.4xlarge
